"Response ID","Time Started","Date Submitted","Status","Contact ID","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","IP Address","Longitude","Latitude","Country","City","State/Region","Postal","Access Log","communityBoardID","isDeleted","Policy Area","Need Group","Agency","Type","Need","Request","Dropdown Combinations","Dropdown Logic","Budget Request Title Please give your budget request a short and recognizable title that will allow it to be readily identified (ex. PS 41 Amenity Upgrade)","Continued Support:Please check the box below if you'd like to mark this request for Continued Support","Budget Request - Continued Support Checkbox Visibility","Explanation","Is this request specific to a particular site, location, or facility?","Address:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Site or Facility Name:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Facility Name:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Cross-Street 1 (for Street Segment):Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Cross-Street 2 (for Street Segment):Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","address-search.js","On Street (Enter Street Name):Complete the following if your request is for a street segment","Cross Street 1:Complete the following if your request is for a street segment","Cross Street 2:Complete the following if your request is for a street segment","Side of Street (if only one-side):Complete the following if your request is for a street segment","Street Name:Complete the following if your request is for an intersection","Intersection - Street 1:Complete the following if your request is for an intersection","Intersection - Street 2:Complete the following if your request is for an intersection","Compass Direction (if streets intersect twice):Complete the following if your request is for an intersection","Supporter 1","Supporter 2","1:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","2:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","3:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","4:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","5:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","6:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","7:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","8:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","9:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","10:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","previousFYAgencyResponse","previousFYAgencyCategoryResponse","currentFYAgencyResponse","currentFYAgencyCategoryResponse","previousFYRanking","currentFYRanking","Previous Year ID","Current Year ID"
"4538","Aug 20, 2024 4:29:00 pm","Aug 20, 2024 4:29:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185780_66c4fcb40f46b8.45242969","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX10","","Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection","Department of Environmental Protection (DEP)","Capital","Sewage and flooding","Inspect sanitary sewer on specific street segment and repair or replace as needed","","","Inspect sanitary sewer on specific street segment and repair or replace as needed","","","We respectfully ask that the Department replace storm drains at the following locations. All are crumbling and are causing steep trip hazards.    (1) Lyon Avenue and Parker Street  (2)on the south side of Zerega Avenue and Castle Hill Avenue  (3)Westchester Avenue and Doris Street  and (4) Westchester Avenue and Zerega Avenue.  ","No","","","","","","","","","","","","","","","Westchester Square Zerega Improvement Organization ","","","","","","","","","","","","","","","","36","","110202236C","7531899-4538-2026-BX10-C"
"4539","Aug 20, 2024 4:29:00 pm","Aug 20, 2024 4:29:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185790_66c4fcbe068526.26191937","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX10","","Transportation and Mobility","Needs for Traffic and Transportation Infrastructure","Department of Transportation (DOT)","Capital","Transportation infrastructure","Reconstruct streets","","","Reconstruct streets","","","Longstreet Avenue between Chaffee Avenue and Glennon Place is a mapped street that requires full reconstruction and we request that the City of New York add it to its capital reconstruction plan. ","Yes","","","","","","","Longstreet Avenue","Glennon Place","Chaffee Avenue ","","","","","","Locust Point Civic Association","","","","","","","","","","","","","","","","37","","110202237C","7531899-4539-2026-BX10-C"
"4540","Aug 20, 2024 4:30:00 pm","Aug 20, 2024 4:30:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185800_66c4fcc8349097.78085746","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX10","","Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection","Department of Environmental Protection (DEP)","Capital","Sewage and flooding","Develop a capital project for specific street segments currently lacking sanitary sewers","","","Develop a capital project for specific street segments currently lacking sanitary sewers","","","Longstreet Avenue between Chaffee Avenue and Glennon Place is a mapped street that requires full reconstruction and we request that the City of New York add it to its capital reconstruction plan with sewers and proper storm drains to counteract the perennial flooding. This was to be part of Hammond Cove project. ","Yes","","","","","","","Longstreet Avenue","Chaffee Avenue ","Glennon Place","","","","","","Locust Point Community Association ","","","","","","","","","","","","","","","","38","","110202238C","7531899-4540-2026-BX10-C"
"4541","Aug 20, 2024 4:30:00 pm","Aug 20, 2024 4:30:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185810_66c4fcd23ca354.94717100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX10","","Transportation and Mobility","Needs for Transit Services","New York City Transit Authority (NYCTA)","Capital","Transit Infrastructure","Other capital budget request for NYCTA","","","Other capital budget request for NYCTA","Continued Support","","We request elevators for the following stations: Zerega Avenue, Westchester Square, Middletown Road, Crosby Avenue, Buhre Avenue and Pelham Bay Station.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","More information is needed from the community board before making a funding decision. The community board should contact the agency.","The agency requires additional information from the community board regarding this request","","","","","110202239C","7531899-4541-2026-BX10-C"
"4542","Aug 20, 2024 4:30:00 pm","Aug 20, 2024 4:30:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185820_66c4fcdc7120a5.58190026","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX11","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Redesign & consideration of a brick & mortar bathroom in the reconstruction of Zimmerman Playground. Without a proper bathroom, the children of CB11 will lose the opportunity for additional programming & quality of life. It is the only playground of its type in a dense half-mile radius, (until its closure) containing the only public restroom in an even wider area. Renovation as planned does not include funds for the bathroom, but this community desperately needs the bathroom to be included in any renovation plan. Understanding that the Parks Department only has access to operational funding, we ask and implore that the Department of Parks and join Bx CB11 to advocate on behalf and encourage our local elected officials to consider funding this project from their discretionary budgets.","Yes","650 BRITTON STREET, Bronx, NY, USA","Zimmerman Park ","","","","","","","","","","","","","Janice Wilcott | Bronx CB 11 Parks Chair","Debra Kawalick | Bronx CB 11 Parks C0-Chair","","","","","","","","","","","","","","","1","","111202501C","7531899-4542-2026-BX11-C"
"4543","Aug 20, 2024 4:30:00 pm","Aug 20, 2024 4:30:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185831_66c4fce7df4ed9.46797635","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX11","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Expense","Park programming","Provide more programs in parks or recreational centers","","","Provide more programs in parks or recreational centers","","","As stated in the community snapshot of key indicators, 22.6 % of Bronx District 11 is comprised of youth under the age of 18 with families experiencing an income of 20% below the NYCgov poverty threshold as compared to the federal poverty rate, and 49.4% paying 35% of that income to rent. With 19 Parks in Bx District 11, there is a strong community consensus for FREE and equitable programming that would address the health and wellness of our District Youth and current social drivers of health. Programs in the arts (music, dance), Sports (basketball, baseball, soccer), and the like aid the District youth and fall in line with the proposed preliminary 10-year City Capital plan of 159.3 Billion allocated in part towards Parks and cultural services. FY24 Agency Response: Parks Dept w/Support.","No","","","","","","","","","","","","","","","NYC Parks Dept.","","","","","","","","","","","","The Parks Department would support this request for personnel.","The agency supports this request, but funding is not available at this time","","","1","","111202501E","7531899-4543-2026-BX11-E"
"4544","Aug 20, 2024 4:30:00 pm","Aug 20, 2024 4:30:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185844_66c4fcf40f07a4.59690135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX11","","Youth, Education, and Child Welfare","Needs for Youth Education","School Construction Authority","Capital","Schools and educational facilities","Provide a new or expand an existing elementary school","","","Provide a new or expand an existing elementary school","","","Will the DOE fund the expansion of PS MS 89?  One of the biggest schools in BxCB11 of up to 1400 students in need of renovating a current space “mini building” on the school grounds to provide a healthy space for adequate learning.  PS/MS 89 seeking a similar annex similar to the PS 108, 96 and 97. The space is already there so that is not an issue, the mini building is currently being use to teach 10 classes consisting of about 300 students, but continues to be in need of renovations due to infrastructure affecting student health/public health issues. The entire building is to capacity with no open space since enrollment. Renovation of the facility is needed to ensure that the students of our diverse cultures receive the best DOE education. ","Yes","980 MACE AVENUE, Bronx, NY, USA","PS MS 89 | Annex ","","","","","","","","","","","","","Principal Ralph Martinez ","Assistant Principal – Maura Langan","","","","","","","","","","","","","","","2","","111202502C","7531899-4544-2026-BX11-C"
"4545","Aug 20, 2024 4:30:00 pm","Aug 20, 2024 4:31:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185856_66c4fd000410f3.89387033","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX11","","Youth, Education, and Child Welfare","Needs for Youth Education","Department of Education (DOE)","Expense","Educational programs","Assign more non-teaching staff, e.g., to provide social, health and other services","","","Assign more non-teaching staff, e.g., to provide social, health and other services","","","Request: Poster Maker for the 1400 students enrolled at PS/MS 89.  Explanation: PS/MS 89 is requesting a poster making for the 1400 students and teaching faculty use. The funding of state of the art poster/label and sticker maker with the supplies of paper ink, etc., will help to alleviate the economic impact of the students and their families. Can the department of education fund $2500-$5000 for the purchase of three “Cricut” type of poster makers and accessories?","Yes","1640 BRONXDALE AVENUE, Bronx, NY, USA"," Van Nest Academy PS/MS 498","","","","","","","","","","","",""," Principal Ralph Martinez and Assistant Principal – Maura Langan","","","","","","","","","","","","Contact the Community Board Unit at OMB for information regarding this request.","This request requires further study","","","2","","111202502E","7531899-4545-2026-BX11-E"
"4546","Aug 20, 2024 4:30:00 pm","Aug 20, 2024 4:31:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185799_66c4fcc7f2a591.07329336","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX11","","Youth, Education, and Child Welfare","Needs for Youth Education","School Construction Authority","Capital","Schools and educational facilities","Provide a new or expand an existing middle/intermediate school","","","Provide a new or expand an existing middle/intermediate school","","","Request: MIDDLE SCHOOLS NEEDED WITHIN COMMUNITY BOARD 11 LOCATED IN CEC11  Explanation: For the past seven years CEC11 has been owed 3,000+ middle school seats. Our communities in CB11 desperately need a separate middle school or a vertical extension of PS108 building that currently goes to 5th grade only, to be extended to 8th grade. Currently PS481 The Steambridge School can accommodate two classrooms each to 8th grade by reworking its present layout. Its previous school in this building was St. Dominic R.C. School built in 1952 and had Kindergarten through 8th grade with two classrooms to each grade. Presently, there are property sites available. ","Yes","","","","","","","Bronx CB 11 Distrist","Van Nest, Morris Park","Pelham Park Way and Bronx Park East","","","","","","CB11 Education, Culture & Youth Services Committee","","","","","","","","","","","","","","","","3","","111202503C","7531899-4546-2026-BX11-C"
"4547","Aug 20, 2024 4:30:00 pm","Aug 20, 2024 4:31:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185855_66c4fcffba6d50.98743528","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX11","","Youth, Education, and Child Welfare","Needs for Youth Education","Department of Education (DOE)","Expense","Educational programs","Other expense budget request for DOE","","","Other expense budget request for DOE","","","P.S. 121 has a request for 30 iPads and 6 smart board upgrades.  ","Yes","2750 THROOP AVENUE, Bronx, NY, USA","","","","","","","","","","","","","","PS 121","","","","","","","","","","","","","","","","3","","111202503E","7531899-4547-2026-BX11-E"
"4548","Aug 20, 2024 4:31:00 pm","Aug 20, 2024 4:31:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185867_66c4fd0bbbf078.02218159","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX11","","Transportation and Mobility","Needs for Traffic and Transportation Infrastructure","Department of Transportation (DOT)","Capital","Transportation infrastructure","Roadway maintenance (resurfacing, trench restoration, etc.)","","","Roadway maintenance (resurfacing, trench restoration, etc.)","","","DOT review and support repaving of roadways/streets in Bx CB 11 and the surrounding Jacobi Hospital area at 1400 Pelham Pkwy S, Bronx, NY 10461. Explanation: The site review and repaving is requested due to multiple construction projects having created structural roadway issues in Bx CB 11.  The roads in our district, which encompasses the neighborhoods of Allerton, Indian Village, Morris Park, Pelham Gardens, Pelham Parkway, Van Nest && other areas (or parts thereof, zip codes 10460, 10461, 10462, 10467 & 10469), have presented a consistent issue the likes of traffic jams/delays and hazards. Bronx Park East and the Bronx River Parkway to the west, Adee Avenue, Boston Road, delineate the district and East Gun Hill Road to the north, the Hutchinson River Parkway to the east, etc. ","Yes","","","","","","","Pelham Parkway Vicinity ","","","","","","","","Robert Press | Bx CB 11 Community Member","","","","","","","","","","","","","","","","4","","111202504C","7531899-4548-2026-BX11-C"
"4549","Aug 20, 2024 4:31:00 pm","Aug 20, 2024 4:32:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185880_66c4fd18052a75.73415885","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX11","","Core Infrastructure, City Services, and Resiliency","Needs for Sanitation Services","Department of Sanitation (DSNY)","Expense","Garbage collection and recycling","Provide more on-street trash cans and recycling containers","","","Provide more on-street trash cans and recycling containers","","","Due to an overflow of trash in the parks of Pelham Parkway and to offset the smaller trash receptacles already in place throughout our parks on Pelham Parkway and to supplement the containment of heavy weekend trash, a request of Large | Enclosed Trash Receptacles, with safety lids throughout CB 11’s heavily used park grounds. The ask is for the parks department to furnish these receptacle and service them on the weekend, setting them out on the mornings of Saturday and Sunday or holidays and disposing of content nightly.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","111202504E","7531899-4549-2026-BX11-E"
"4550","Aug 20, 2024 4:32:00 pm","Aug 20, 2024 4:32:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185920_66c4fd401aa0d3.25596096","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX11","","Housing, Economic Development, and Land Use","Needs for Housing","New York City Housing Authority (NYCHA)","Capital","Public housing upgrades or renovations","Other public housing upgrades or renovations requests","","","Other public housing upgrades or renovations requests","","","Request: Infrastructure repair of the Pelham Parkway NYCHA houses.  Explanation: Due to concerns for safety and quality of life, funding is needed for functional lighting in all hallways, electrical repairs and replacement of lobby doors and the upkeep of the general landscape. Can NYCHA allocate funding in the FY 25 budget?","Yes","910 MACE AVENUE, Bronx, NY, USA"," 910 Mace Ave, Bronx, NY 10469","","","","","","","","","","","","","Pelham parkway tenant association,"," President Oscar Grant. ","","","","","","","","","","","","","","","5","","111202505C","7531899-4550-2026-BX11-C"
"4551","Aug 20, 2024 4:33:00 pm","Aug 20, 2024 4:34:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724185075_66c4f9f3b648f1.16319267&ssoconfirmation=blJrbUtDSFhOQTJTM2dJfllfeUtuc094OWxfc3Fpd1N4bXFEU09BNExxfmR4T3NfWFhNZ25vMGV1R2htM2g3dURnSDBXWTQ2VXRSY212cG81VFF4WktaZ09fYzV2Q192cHdpcEVSN2Q4THhUU2hoUjV3U3Q5NnJ6UXJONUx5MDczVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724185982_66c4fd7e0147c5.07267916","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX11","","Parks, Cultural, and Other Community Facilities","Needs for Library Services","New York Public Library (NYPL)","Expense","Library facilities, equipment and programs","Extend library hours, expand library programs, and enhance library collections","","","Extend library hours, expand library programs, and enhance library collections","","","In the past fiscal year, NYPL prioritized youth and education, opening 15 teen centers in the Bronx, Manhattan, and Staten Island. The after-school program will expand to 18 new locations, totaling 50 across the three boroughs. NYPL is also exploring initiatives for adults, seniors, and asylum seekers near our branches. To serve patrons effectively, NYPL aims to expand collections, enhance skills-based programs, and create accessible community spaces. We urge OMB to support increased funding for libraries in the upcoming fiscal year. Can OMB provide the necessary support?","No","","","","","","","","","","","","","","","OFFICE OF GOVERNMENT AND COMMUNITY AFFAIRS Thank you for supporting NYPL’s FY 25 expense and capital request.","","","","","","","","","","","","","","","","5","","111202505E","7531899-4551-2026-BX11-E"
